Number Site HarvestYear SowingDate Variety useCat Date Date_BBCH10 Date_BBCH30 Date_BBCH55 Date_BBCH90 Biomass EarsPerSqM Grain_Number ProteinContentGrain N_in_biomassHarvest Grain_Yield
57 Site_10 2014 21/10/2013 A train 31/12/2014 NA NA NA NA NA NA NA NA NA NA
59 Site_10 2015 27/10/2014 A train 19/03/2015 NA NA NA NA NA NA NA NA NA NA
59 Site_10 2015 27/10/2014 A train 15/04/2015 NA NA NA NA NA NA NA NA NA NA
59 Site_10 2015 27/10/2014 A train 28/04/2015 NA NA NA NA NA NA NA NA NA NA
59 Site_10 2015 27/10/2014 A train 25/05/2015 NA NA NA NA NA NA NA NA NA NA
59 Site_10 2015 27/10/2014 A train 31/12/2015 NA NA NA NA NA NA NA NA NA NA
65 Site_11 2014 21/10/2013 A train 17/03/2014 NA NA NA NA NA NA NA NA NA NA
65 Site_11 2014 21/10/2013 A train 07/04/2014 NA NA NA NA NA NA NA NA NA NA
65 Site_11 2014 21/10/2013 A train 25/04/2014 NA NA NA NA NA NA NA NA NA NA
65 Site_11 2014 21/10/2013 A train 19/05/2014 NA NA NA NA NA NA NA NA NA NA
65 Site_11 2014 21/10/2013 A train 31/12/2014 NA NA NA NA NA NA NA NA NA NA
67 Site_11 2015 23/10/2014 A train 01/04/2015 NA NA NA NA NA NA NA NA NA NA
67 Site_11 2015 23/10/2014 A train 20/04/2015 NA NA NA NA NA NA NA NA NA NA
67 Site_11 2015 23/10/2014 A train 04/05/2015 NA NA NA NA NA NA NA NA NA NA
67 Site_11 2015 23/10/2014 A train 25/05/2015 NA NA NA NA NA NA NA NA NA NA
67 Site_11 2015 23/10/2014 A train 31/12/2015 NA NA NA NA NA NA NA NA NA NA
69 Site_11 2016 21/10/2015 A train 29/03/2016 NA NA NA NA NA NA NA NA NA NA
69 Site_11 2016 21/10/2015 A train 20/04/2016 NA NA NA NA NA NA NA NA NA NA
69 Site_11 2016 21/10/2015 A train 06/05/2016 NA NA NA NA NA NA NA NA NA NA
69 Site_11 2016 21/10/2015 A train 27/05/2016 NA NA NA NA NA NA NA NA NA NA
69 Site_11 2016 21/10/2015 A train 31/12/2016 NA NA NA NA NA NA NA NA NA NA
