n	Libellé	harvest_year	sowing_date	cultivar	Code_postal	Longitude	Latitude	Altitude	Type_de_sol_panoramix	Code_sol_de_la_base	Nom_Arvalis	Regime_hydrique	N_Horizons	Epaisseur_H1	Hcc_H1	H_pFp_H1	Da_terre_fine_H1	RU_par_horizon_H1	Argile_H1	Limon_fin_H1	Limon_grossier_H1	Sable_fin_H1	Sable_grossier_H1	Argile_Sans_CaCO3_H1	Limon_fin_Sans_CaCO3_H1	Limon_grossier_Sans_CaCO3_H1	Sable_fin_Sans_CaCO3_H1	Sable_grossier_Sans_CaCO3_H1	CaCO3__total_H1	Matiere_Organique_H1	Cailloux_H1	Cailloux_Dimension_H1	pH_eau_H1	Epaisseur_H2	Hcc_H2	H_pFp_H2	Da_terre_fine_H2	RU_par_horizon_H2	Argile_H2	Limon_fin_H2	Limon_grossier_H2	Sable_fin_H2	Sable_grossier_H2	Argile_Sans_CaCO3_H2	Limon_fin_Sans_CaCO3_H2	Limon_grossier_Sans_CaCO3_H2	Sable_fin_Sans_CaCO3_H2	Sable_grossier_Sans_CaCO3_H2	CaCO3__total_H2	Matiere_Organique_H2	Cailloux_H2	Cailloux_Dimension_H2	pH_eau_H2	Epaisseur_H3	Hcc_H3	H_pFp_H3	Da_terre_fine_H3	RU_par_horizon_H3	Argile_H3	Limon_fin_H3	Limon_grossier_H3	Sable_fin_H3	Sable_grossier_H3	Argile_Sans_CaCO3_H3	Limon_fin_Sans_CaCO3_H3	Limon_grossier_Sans_CaCO3_H3	Sable_fin_Sans_CaCO3_H3	Sable_grossier_Sans_CaCO3_H3	CaCO3__total_H3	Matiere_Organique_H3	Cailloux_H3	Cailloux_Dimension_H3	pH_eau_H3	Epaisseur_H4	Hcc_H4	H_pFp_H4	Da_terre_fine_H4	RU_par_horizon_H4	Argile_H4	Limon_fin_H4	Limon_grossier_H4	Sable_fin_H4	Sable_grossier_H4	Argile_Sans_CaCO3_H4	Limon_fin_Sans_CaCO3_H4	Limon_grossier_Sans_CaCO3_H4	Sable_fin_Sans_CaCO3_H4	Sable_grossier_Sans_CaCO3_H4	CaCO3__total_H4	Matiere_Organique_H4	Cailloux_H4	Cailloux_Dimension_H4	pH_eau_H4	Etat_initial_réserve	Réserve_utile	Station_locale	Station_historique	Protocole	Essai	Espèce	Densité_Semis	Nombre_Fertilisation_azotée	Dose_totale_Fertilisation_azotée	Date_1_Fertilisation_azotée	Dose_1_Fertilisation_azotée	Produit_1_Fertilisation_azotée	Date_2_Fertilisation_azotée	Dose_2_Fertilisation_azotée	Produit_2_Fertilisation_azotée	Date_3_Fertilisation_azotée	Dose_3_Fertilisation_azotée	Produit_3_Fertilisation_azotée	Date_4_Fertilisation_azotée	Dose_4_Fertilisation_azotée	Produit_4_Fertilisation_azotée	Date_5_Fertilisation_azotée	Dose_5_Fertilisation_azotée	Produit_5_Fertilisation_azotée	Nombre_Irrigation	Dose_totale_Irrigation	Date_1_Irrigation	Dose_1_Irrigation	Date_2_Irrigation	Dose_2_Irrigation	Date_3_Irrigation	Dose_3_Irrigation	Date_4_Irrigation	Dose_4_Irrigation	Teneur_Azote_Grain_Qualité	Biomasse_paille	Teneur_Azote_Paille_Qualité	Grain_sur_Paille_Qualité						
18	MERY_SUR_SEINE	2014	07/10/2013	Bermude	10170.114	4.023333	48.328333	87	Craie_de_Champagne	CH5531001	Sol_limono-argileux_calcaire_caillouteux_superficiel_sur_craie	1:_rapid_drainage_:_coarse_structure_or_high_porosity	3	25	26.47862	13.97232	1.319	44.6612136	28.9	32.8	16.2	4.575	14.275	15	5	5	0.2	0.2	71.7	3.25	16	cailloux(2_à_5_cm)	7.8	25	22.92813	14.05796	1.541	59.2106823	33.4	34.9	14.3	4.785	11.085	14	2.8	1.6	0.1	0	80.6	1.53	88	cailloux(2_à_5_cm)	8.1	100	21.04078	13.64998	1.623	211.3508905	34	35	15	4.55	10.55	15	2.8	0.6	0.1	0	80.6	0.9	88	cailloux(2_à_5_cm)	8.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	195	1002	1002	17TPMOD	126416	Soft_winter_wheat	320	4	196	19/02/2014	36	Ammonitrate	14/03/2014	60	Ammonitrate	28/03/2014	60	Ammonitrate	17/04/2014	40	Ammonitrate	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	1.95	838.3	0.46	1.09						
19	MERY_SUR_SEINE	2015	15/10/2014	Apache	10170.115	4.023333	48.328333	87	Craie_de_Champagne	CH5531001	Sol_limono-argileux_calcaire_caillouteux_superficiel_sur_craie	1:_rapid_drainage_:_coarse_structure_or_high_porosity	3	25	26.47862	13.97232	1.319	44.6612136	28.9	32.8	16.2	4.575	14.275	15	5	5	0.2	0.2	71.7	3.25	16	cailloux(2_à_5_cm)	7.8	25	22.92813	14.05796	1.541	59.2106823	33.4	34.9	14.3	4.785	11.085	14	2.8	1.6	0.1	0	80.6	1.53	88	cailloux(2_à_5_cm)	8.1	100	21.04078	13.64998	1.623	211.3508905	34	35	15	4.55	10.55	15	2.8	0.6	0.1	0	80.6	0.9	88	cailloux(2_à_5_cm)	8.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	195	1002	1002	17TPMOD	128539	Soft_winter_wheat	320	3	206	25/02/2015	51	Solution_azotée	24/03/2015	100	Solution_azotée	04/05/2015	55	Solution_azotée	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	1.91	894.7	0.52	0.97						
20	MERY_SUR_SEINE	2015	15/10/2014	Bermude	10170.115	4.023333	48.328333	87	Craie_de_Champagne	CH5531001	Sol_limono-argileux_calcaire_caillouteux_superficiel_sur_craie	1:_rapid_drainage_:_coarse_structure_or_high_porosity	3	25	26.47862	13.97232	1.319	44.6612136	28.9	32.8	16.2	4.575	14.275	15	5	5	0.2	0.2	71.7	3.25	16	cailloux(2_à_5_cm)	7.8	25	22.92813	14.05796	1.541	59.2106823	33.4	34.9	14.3	4.785	11.085	14	2.8	1.6	0.1	0	80.6	1.53	88	cailloux(2_à_5_cm)	8.1	100	21.04078	13.64998	1.623	211.3508905	34	35	15	4.55	10.55	15	2.8	0.6	0.1	0	80.6	0.9	88	cailloux(2_à_5_cm)	8.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	195	1002	1002	17TPMOD	128539	Soft_winter_wheat	320	3	206	25/02/2015	51	Solution_azotée	24/03/2015	100	Solution_azotée	04/05/2015	55	Solution_azotée	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	1.84	858.2	0.59	1.04						
21	ROUVRES_EN_PLAINE	2012	11/10/2011	Apache	21110.112	5.091667	47.275	206	Limon_argileux	BO0036001	Sol_limono-argileux_profond_sur_calcaire_dur	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	4	25	23.2593	9.82902	1.379	46.3008875	20	35	30	10	3	0	0	0	0	0	0	2	0	-	6.25	25	19.99575	8.91367	1.608	44.5499775	20	35	30	9.925	4.925	0	0	0	0	0	0	0.15	0	-	6.25	10	22.08204	14.88614	1.609	11.578206	35	35	20	4.95	4.95	0	0	0	0	0	0	0.1	0	-	6	30	25.79747	19.64237	1.5	27.697947	50	35	10	2.95	1.95	0	0	0	0	0	0	0.1	0	-	6.5	1	120	2101	2101	17TPMOD	122200	Soft_winter_wheat	320	3	182	25/02/2012	50	Ammonitrate	21/03/2012	98	Solution_azotée	27/04/2012	34	Ammonitrate	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
22	ROUVRES_EN_PLAINE	2012	11/10/2011	Bermude	21110.112	5.091667	47.275	206	Limon_argileux	BO0036001	Sol_limono-argileux_profond_sur_calcaire_dur	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	4	25	23.2593	9.82902	1.379	46.3008875	20	35	30	10	3	0	0	0	0	0	0	2	0	-	6.25	25	19.99575	8.91367	1.608	44.5499775	20	35	30	9.925	4.925	0	0	0	0	0	0	0.15	0	-	6.25	10	22.08204	14.88614	1.609	11.578206	35	35	20	4.95	4.95	0	0	0	0	0	0	0.1	0	-	6	30	25.79747	19.64237	1.5	27.697947	50	35	10	2.95	1.95	0	0	0	0	0	0	0.1	0	-	6.5	1	120	2101	2101	17TPMOD	122200	Soft_winter_wheat	320	3	182	25/02/2012	50	Ammonitrate	21/03/2012	98	Solution_azotée	27/04/2012	34	Ammonitrate	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
23	ROUVRES_EN_PLAINE	2013	18/10/2012	Apache	21110.113	5.091667	47.275	206	Limon_argileux	BO0036001	Sol_limono-argileux_profond_sur_calcaire_dur	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	4	25	23.2593	9.82902	1.379	46.3008875	20	35	30	10	3	0	0	0	0	0	0	2	0	-	6.25	25	19.99575	8.91367	1.608	44.5499775	20	35	30	9.925	4.925	0	0	0	0	0	0	0.15	0	-	6.25	10	22.08204	14.88614	1.609	11.578206	35	35	20	4.95	4.95	0	0	0	0	0	0	0.1	0	-	6	30	25.79747	19.64237	1.5	27.697947	50	35	10	2.95	1.95	0	0	0	0	0	0	0.1	0	-	6.5	1	120	2101	2101	17TPMOD	124097	Soft_winter_wheat	320	3	195	19/02/2013	43	Ammonitrate	22/03/2013	101	Solution_azotée	10/05/2013	51	Ammonitrate	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
24	ROUVRES_EN_PLAINE	2013	18/10/2012	Bermude	21110.113	5.091667	47.275	206	Limon_argileux	BO0036001	Sol_limono-argileux_profond_sur_calcaire_dur	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	4	25	23.2593	9.82902	1.379	46.3008875	20	35	30	10	3	0	0	0	0	0	0	2	0	-	6.25	25	19.99575	8.91367	1.608	44.5499775	20	35	30	9.925	4.925	0	0	0	0	0	0	0.15	0	-	6.25	10	22.08204	14.88614	1.609	11.578206	35	35	20	4.95	4.95	0	0	0	0	0	0	0.1	0	-	6	30	25.79747	19.64237	1.5	27.697947	50	35	10	2.95	1.95	0	0	0	0	0	0	0.1	0	-	6.5	1	120	2101	2101	17TPMOD	124097	Soft_winter_wheat	320	3	195	19/02/2013	43	Ammonitrate	22/03/2013	101	Solution_azotée	10/05/2013	51	Ammonitrate	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
29	Cesseville	2011	13/10/2010	Apache	27110.111	0.903611	49.148611	153	Limon	HN0066001	Sol_limoneux_profond_sur_limons	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	3	25	21.84233	7.28134	1.389	50.5630425	12	30	35	10.6	10.6	0	0	0	0	0	0	1.8	0	-	7	65	19.05325	8.37696	1.601	111.1028685	15	30	35	9.85	9.85	0	0	0	0	0	0	0.3	0	-	7	60	19.55332	11.35084	1.61	79.235946	25	25	30	9.95	9.95	0	0	0	0	0	0	0.1	0	-	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	200	2700	2701	17IVB	119440	Soft_winter_wheat	200	3	192	25/02/2011	62	Ammonitrate	21/03/2011	80	Ammonitrate	29/04/2011	50	Ammonitrate	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	1.86	NA	NA	NA						
30	Cesseville	2011	13/10/2010	Bermude	27110.111	0.903611	49.148611	153	Limon	HN0066001	Sol_limoneux_profond_sur_limons	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	3	25	21.84233	7.28134	1.389	50.5630425	12	30	35	10.6	10.6	0	0	0	0	0	0	1.8	0	-	7	65	19.05325	8.37696	1.601	111.1028685	15	30	35	9.85	9.85	0	0	0	0	0	0	0.3	0	-	7	60	19.55332	11.35084	1.61	79.235946	25	25	30	9.95	9.95	0	0	0	0	0	0	0.1	0	-	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	200	2700	2701	17IVB	119440	Soft_winter_wheat	200	3	192	25/02/2011	62	Ammonitrate	21/03/2011	80	Ammonitrate	29/04/2011	50	Ammonitrate	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	1.82	NA	NA	NA						
31	IVILLE	2012	12/10/2011	Apache	27110.112	0.903611	49.148611	153	Limon	HN0066001	Sol_limoneux_profond_sur_limons	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	3	25	21.84233	7.28134	1.389	50.5630425	12	30	35	10.6	10.6	0	0	0	0	0	0	1.8	0	-	7	65	19.05325	8.37696	1.601	111.1028685	15	30	35	9.85	9.85	0	0	0	0	0	0	0.3	0	-	7	60	19.55332	11.35084	1.61	79.235946	25	25	30	9.95	9.95	0	0	0	0	0	0	0.1	0	-	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	180	2700	2700	17TPMOD	122207	Soft_winter_wheat	200	3	180	05/03/2012	50	Solution_azotée	16/03/2012	90	Solution_azotée	25/04/2012	40	Solution_azotée	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
32	IVILLE	2012	12/10/2011	Bermude	27110.112	0.903611	49.148611	153	Limon	HN0066001	Sol_limoneux_profond_sur_limons	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	3	25	21.84233	7.28134	1.389	50.5630425	12	30	35	10.6	10.6	0	0	0	0	0	0	1.8	0	-	7	65	19.05325	8.37696	1.601	111.1028685	15	30	35	9.85	9.85	0	0	0	0	0	0	0.3	0	-	7	60	19.55332	11.35084	1.61	79.235946	25	25	30	9.95	9.95	0	0	0	0	0	0	0.1	0	-	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	180	2700	2700	17TPMOD	122207	Soft_winter_wheat	200	3	180	05/03/2012	50	Solution_azotée	16/03/2012	90	Solution_azotée	25/04/2012	40	Solution_azotée	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
33	VILLETTES	2013	24/10/2012	Apache	27110.113	0.903611	49.148611	153	Limon	HN0066001	Sol_limoneux_profond_sur_limons	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	3	25	21.84233	7.28134	1.389	50.5630425	12	30	35	10.6	10.6	0	0	0	0	0	0	1.8	0	-	7	65	19.05325	8.37696	1.601	111.1028685	15	30	35	9.85	9.85	0	0	0	0	0	0	0.3	0	-	7	60	19.55332	11.35084	1.61	79.235946	25	25	30	9.95	9.95	0	0	0	0	0	0	0.1	0	-	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	162	2700	2720	17IVB	124385	Soft_winter_wheat	200	4	204	18/02/2013	18	Ammonitrate	02/03/2013	70	Solution_azotée	23/03/2013	74	Solution_azotée	03/05/2013	42	Solution_azotée	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
34	VILLETTES	2013	24/10/2012	Bermude	27110.113	0.903611	49.148611	153	Limon	HN0066001	Sol_limoneux_profond_sur_limons	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	3	25	21.84233	7.28134	1.389	50.5630425	12	30	35	10.6	10.6	0	0	0	0	0	0	1.8	0	-	7	65	19.05325	8.37696	1.601	111.1028685	15	30	35	9.85	9.85	0	0	0	0	0	0	0.3	0	-	7	60	19.55332	11.35084	1.61	79.235946	25	25	30	9.95	9.95	0	0	0	0	0	0	0.1	0	-	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	162	2700	2720	17IVB	124385	Soft_winter_wheat	200	4	204	18/02/2013	18	Ammonitrate	02/03/2013	70	Solution_azotée	23/03/2013	74	Solution_azotée	03/05/2013	42	Solution_azotée	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
35	EPREVILLE_PRES_LE_NEUBOURG	2014	15/10/2013	Apache	27110.114	0.903611	49.148611	153	Limon	HN0066001	Sol_limoneux_profond_sur_limons	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	3	25	21.84233	7.28134	1.389	50.5630425	12	30	35	10.6	10.6	0	0	0	0	0	0	1.8	0	-	7	65	19.05325	8.37696	1.601	111.1028685	15	30	35	9.85	9.85	0	0	0	0	0	0	0.3	0	-	7	60	19.55332	11.35084	1.61	79.235946	25	25	30	9.95	9.95	0	0	0	0	0	0	0.1	0	-	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	170	2720	2720	17TPMOD	126435	Soft_winter_wheat	200	3	200	24/02/2014	32	18_46	06/03/2014	90	Solution_azotée	07/04/2014	78	Solution_azotée	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	2	1083.7	1.1	0.84						
36	EPREVILLE_PRES_LE_NEUBOURG	2014	15/10/2013	Bermude	27110.114	0.903611	49.148611	153	Limon	HN0066001	Sol_limoneux_profond_sur_limons	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	3	25	21.84233	7.28134	1.389	50.5630425	12	30	35	10.6	10.6	0	0	0	0	0	0	1.8	0	-	7	65	19.05325	8.37696	1.601	111.1028685	15	30	35	9.85	9.85	0	0	0	0	0	0	0.3	0	-	7	60	19.55332	11.35084	1.61	79.235946	25	25	30	9.95	9.95	0	0	0	0	0	0	0.1	0	-	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	170	2720	2720	17TPMOD	126435	Soft_winter_wheat	200	3	200	24/02/2014	32	18_46	06/03/2014	90	Solution_azotée	07/04/2014	78	Solution_azotée	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	1.8	576.6	1.1	1.66						
37	CRESTOT	2015	14/10/2014	Apache	27110.115	0.903611	49.148611	153	Limon	HN0066001	Sol_limoneux_profond_sur_limons	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	3	25	21.84233	7.28134	1.389	50.5630425	12	30	35	10.6	10.6	0	0	0	0	0	0	1.8	0	-	7	65	19.05325	8.37696	1.601	111.1028685	15	30	35	9.85	9.85	0	0	0	0	0	0	0.3	0	-	7	60	19.55332	11.35084	1.61	79.235946	25	25	30	9.95	9.95	0	0	0	0	0	0	0.1	0	-	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	200	2701	2701	17TPMOD	128556	Soft_winter_wheat	200	3	197	05/03/2015	80	Solution_azotée	26/03/2015	78	Solution_azotée	24/04/2015	39	Solution_azotée	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	1.8	947.9	0.6	1.05						
38	CRESTOT	2015	14/10/2014	Bermude	27110.115	0.903611	49.148611	153	Limon	HN0066001	Sol_limoneux_profond_sur_limons	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	3	25	21.84233	7.28134	1.389	50.5630425	12	30	35	10.6	10.6	0	0	0	0	0	0	1.8	0	-	7	65	19.05325	8.37696	1.601	111.1028685	15	30	35	9.85	9.85	0	0	0	0	0	0	0.3	0	-	7	60	19.55332	11.35084	1.61	79.235946	25	25	30	9.95	9.95	0	0	0	0	0	0	0.1	0	-	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	200	2701	2701	17TPMOD	128556	Soft_winter_wheat	200	3	197	05/03/2015	80	Solution_azotée	26/03/2015	78	Solution_azotée	24/04/2015	39	Solution_azotée	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	1.8	952	0.6	1.1						
41	OUZOUER_LE_MARCHE	2012	21/10/2011	Apache	41240.112	1.521944	47.904167	129	Limon_argileux	CE0036003	Sol_limono-argileux_à_argilo-limoneux_profond_sur_calcaire_dur	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	2	25	24.40929	14.24716	1.382	35.1101775	30.9	30	28.1	3.3	5.8	0	0	0	0	0	1	1.9	0	-	7.5	65	23.5777	15.58152	1.569	81.5490715	36	29	26	4.3	3.8	0	0	0	0	0	0	0.9	0	-	7.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	220	4198	4501	17TPMOD	122218	Soft_winter_wheat	250	4	184	01/02/2012	37	Solution_azotée	08/03/2012	37	Solution_azotée	27/04/2012	30	Ammonitrate	10/05/2012	80	Ammonitrate	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
42	OUZOUER_LE_MARCHE	2012	21/10/2011	Bermude	41240.112	1.521944	47.904167	129	Limon_argileux	CE0036003	Sol_limono-argileux_à_argilo-limoneux_profond_sur_calcaire_dur	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	2	25	24.40929	14.24716	1.382	35.1101775	30.9	30	28.1	3.3	5.8	0	0	0	0	0	1	1.9	0	-	7.5	65	23.5777	15.58152	1.569	81.5490715	36	29	26	4.3	3.8	0	0	0	0	0	0	0.9	0	-	7.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	220	4198	4501	17TPMOD	122218	Soft_winter_wheat	250	4	184	01/02/2012	37	Solution_azotée	08/03/2012	37	Solution_azotée	27/04/2012	30	Ammonitrate	10/05/2012	80	Ammonitrate	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
43	OUZOUER_LE_MARCHE	2013	30/10/2012	Apache	41240.113	1.521944	47.904167	129	Limon_argileux	CE0036003	Sol_limono-argileux_à_argilo-limoneux_profond_sur_calcaire_dur	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	2	25	24.40929	14.24716	1.382	35.1101775	30.9	30	28.1	3.3	5.8	0	0	0	0	0	1	1.9	0	-	7.5	65	23.5777	15.58152	1.569	81.5490715	36	29	26	4.3	3.8	0	0	0	0	0	0	0.9	0	-	7.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	159	4198	4501	17TPMOD	124108	Soft_winter_wheat	250	3	155	15/03/2013	80	Solution_azotée	05/04/2013	45	Solution_azotée	14/05/2013	30	Ammonitrate	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
44	OUZOUER_LE_MARCHE	2013	30/10/2012	Bermude	41240.113	1.521944	47.904167	129	Limon_argileux	CE0036003	Sol_limono-argileux_à_argilo-limoneux_profond_sur_calcaire_dur	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	2	25	24.40929	14.24716	1.382	35.1101775	30.9	30	28.1	3.3	5.8	0	0	0	0	0	1	1.9	0	-	7.5	65	23.5777	15.58152	1.569	81.5490715	36	29	26	4.3	3.8	0	0	0	0	0	0	0.9	0	-	7.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	159	4198	4501	17TPMOD	124108	Soft_winter_wheat	250	3	155	15/03/2013	80	Solution_azotée	05/04/2013	45	Solution_azotée	14/05/2013	30	Ammonitrate	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
49	BIGNAN	2010	30/10/2009	Apache	56500.11	-2.728333	47.884722	93	Limon	BR0066001	Sol_limoneux_profond_sur_schiste_tendre	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	3	30	23.69283	9.33772	1.357	58.439646	16.5	35	25	14.75	6.25	0	0	0	0	0	0	2.5	0	-	6	20	19.59145	8.94363	1.583	33.711016	16.5	35	25	15	7.85	0	0	0	0	0	0	0.65	0	-	6	100	19.59145	8.94363	1.583	168.55508	16.5	35	25	15	7.85	0	0	0	0	0	0	0.65	0	-	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	215	5695	5683	17IVB	116364	Soft_winter_wheat	230	3	170	04/03/2010	40	Ammonitrate	31/03/2010	100	Ammonitrate	18/05/2010	30	Ammonitrate	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
50	BIGNAN	2010	30/10/2009	Bermude	56500.11	-2.728333	47.884722	93	Limon	BR0066001	Sol_limoneux_profond_sur_schiste_tendre	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	3	30	23.69283	9.33772	1.357	58.439646	16.5	35	25	14.75	6.25	0	0	0	0	0	0	2.5	0	-	6	20	19.59145	8.94363	1.583	33.711016	16.5	35	25	15	7.85	0	0	0	0	0	0	0.65	0	-	6	100	19.59145	8.94363	1.583	168.55508	16.5	35	25	15	7.85	0	0	0	0	0	0	0.65	0	-	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	215	5695	5683	17IVB	116364	Soft_winter_wheat	230	3	170	04/03/2010	40	Ammonitrate	31/03/2010	100	Ammonitrate	18/05/2010	30	Ammonitrate	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
51	BIGNAN	2011	28/10/2010	Apache	56500.111	-2.728333	47.884722	93	Limon	BR0066001	Sol_limoneux_profond_sur_schiste_tendre	2:_favorable_drainage_:_no_risk_of_excess_water_below_90_cm	3	30	23.69283	9.33772	1.357	58.439646	16.5	35	25	14.75	6.25	0	0	0	0	0	0	2.5	0	-	6	20	19.59145	8.94363	1.583	33.711016	16.5	35	25	15	7.85	0	0	0	0	0	0	0.65	0	-	6	100	19.59145	8.94363	1.583	168.55508	16.5	35	25	15	7.85	0	0	0	0	0	0	0.65	0	-	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	216	5695	5683	17IVB	119434	Soft_winter_wheat	230	3	149	03/03/2011	39	Ammonitrate	25/03/2011	80	Ammonitrate	28/04/2011	30	Ammonitrate	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA						
