Number Site HarvestYear SowingDate Variety useCat Date HarvestDate Date_BBCH10 Date_BBCH30 Date_BBCH55 Biomass EarsPerSqM Wt1000_Grain ProteinContentGrain N_in_biomassHarvest Grain_Biomass
41 OUZOUER_LE_MARCHE 2012 21/10/2011 Apache eval NA NA NA NA NA NA NA NA NA NA NA
43 OUZOUER_LE_MARCHE 2013 30/10/2012 Apache eval 17/04/2013 NA NA NA NA NA NA NA NA NA NA
43 OUZOUER_LE_MARCHE 2013 30/10/2012 Apache eval 06/05/2013 NA NA NA NA NA NA NA NA NA NA
43 OUZOUER_LE_MARCHE 2013 30/10/2012 Apache eval 17/05/2013 NA NA NA NA NA NA NA NA NA NA
43 OUZOUER_LE_MARCHE 2013 30/10/2012 Apache eval 10/06/2013 NA NA NA NA NA NA NA NA NA NA
43 OUZOUER_LE_MARCHE 2013 30/10/2012 Apache eval NA NA NA NA NA NA NA NA NA NA NA
49 BIGNAN 2010 30/10/2009 Apache train 27/07/2010 NA NA NA NA NA NA NA NA NA NA
51 BIGNAN 2011 28/10/2010 Apache train 28/07/2011 NA NA NA NA NA NA NA NA NA NA
57 BIGNAN 2014 21/10/2013 Apache train 21/05/2014 NA NA NA NA NA NA NA NA NA NA
57 BIGNAN 2014 21/10/2013 Apache train 23/07/2014 NA NA NA NA NA NA NA NA NA NA
59 BIGNAN 2015 27/10/2014 Apache train 19/03/2015 NA NA NA NA NA NA NA NA NA NA
59 BIGNAN 2015 27/10/2014 Apache train 15/04/2015 NA NA NA NA NA NA NA NA NA NA
59 BIGNAN 2015 27/10/2014 Apache train 28/04/2015 NA NA NA NA NA NA NA NA NA NA
59 BIGNAN 2015 27/10/2014 Apache train 25/05/2015 NA NA NA NA NA NA NA NA NA NA
59 BIGNAN 2015 27/10/2014 Apache train 23/07/2015 NA NA NA NA NA NA NA NA NA NA
65 BOIGNEVILLE 2014 21/10/2013 Apache train 17/03/2014 NA NA NA NA NA NA NA NA NA NA
65 BOIGNEVILLE 2014 21/10/2013 Apache train 07/04/2014 NA NA NA NA NA NA NA NA NA NA
65 BOIGNEVILLE 2014 21/10/2013 Apache train 25/04/2014 NA NA NA NA NA NA NA NA NA NA
65 BOIGNEVILLE 2014 21/10/2013 Apache train 19/05/2014 NA NA NA NA NA NA NA NA NA NA
65 BOIGNEVILLE 2014 21/10/2013 Apache train 17/07/2014 NA NA NA NA NA NA NA NA NA NA
67 BOIGNEVILLE 2015 23/10/2014 Apache train 01/04/2015 NA NA NA NA NA NA NA NA NA NA
67 BOIGNEVILLE 2015 23/10/2014 Apache train 20/04/2015 NA NA NA NA NA NA NA NA NA NA
67 BOIGNEVILLE 2015 23/10/2014 Apache train 04/05/2015 NA NA NA NA NA NA NA NA NA NA
67 BOIGNEVILLE 2015 23/10/2014 Apache train 25/05/2015 NA NA NA NA NA NA NA NA NA NA
67 BOIGNEVILLE 2015 23/10/2014 Apache train 09/07/2015 NA NA NA NA NA NA NA NA NA NA
69 BOIGNEVILLE 2016 21/10/2015 Apache train 29/03/2016 NA NA NA NA NA NA NA NA NA NA
69 BOIGNEVILLE 2016 21/10/2015 Apache train 20/04/2016 NA NA NA NA NA NA NA NA NA NA
69 BOIGNEVILLE 2016 21/10/2015 Apache train 06/05/2016 NA NA NA NA NA NA NA NA NA NA
69 BOIGNEVILLE 2016 21/10/2015 Apache train 27/05/2016 NA NA NA NA NA NA NA NA NA NA
69 BOIGNEVILLE 2016 21/10/2015 Apache train 25/07/2016 NA NA NA NA NA NA NA NA NA NA
